,course_title,course_organization,course_URL,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled,course_icon,image_name
27,Deploying a Python Data Analytics web app on Heroku,Coursera Project Network,https://www.coursera.org/projects/deploying-a-python-data-analytics-web-app-on-heroku,,4.8,Beginner,58k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/58/b16e1090cc11e6a40d313b64811dd8/Eng-Man-Lea.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF&q=25,Business English: Management and Leadership by Arizona State University
28,"Faster Together, Enhancing the Recruitment of Minorities in Clinical Trials",Vanderbilt University,https://www.coursera.org/learn/recruitment-minorities-clinical-trials,,4.5,Mixed,35k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/2e/a7d390b29511e5a9812b2f90fd1fc6/3---Advanced-Interviewing-800-x-800.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF&q=25,"Advanced Interviewing Techniques by University of Maryland, College Park"
29,People Analytics,University of Pennsylvania,https://www.coursera.org/learn/wharton-people-analytics,,4.6,Mixed,7.1k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/92/30f1751daa4abebb795dbe25c530d3/hiring-2.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF&q=25,Hiring and Onboarding Employees with ClickUp by Coursera Project Network
30,Managing Talent,University of Michigan,https://www.coursera.org/learn/managing-talent,,4.8,Intermediate,5.3k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/25/4e06bb9914407d9ddc698f838a5c05/career1_1.jpg?auto=format%2Ccompress&dpr=2&blur=200&px=8&w=150&h=150,Placeholder
31,Business English: Management and Leadership,Arizona State University,https://www.coursera.org/learn/management-leadership-english,,4.4,Beginner,2.4k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/12/bb116e91b2472d84102707cea77ae3/student-2.jpg?auto=format%2Ccompress&dpr=2&blur=200&px=8&w=150&h=150,Placeholder
32,Digital Leadership and Digital Strategy Execution,Digital Marketing Institute,https://www.coursera.org/learn/digital-leadership-digital-strategy-execution,,4.7,Mixed,48k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/bb/92ced5f2864f009234e2e85de71f1f/Inclusive-Leadership-Logo-03.png?auto=format%2Ccompress&dpr=1&w=150&h=150&q=25&fit=fill&bg=FFF,Inclusive Leadership: The Power of Workplace Diversity by University of Colorado System
33,Advanced Interviewing Techniques,"University of Maryland, College Park",https://www.coursera.org/learn/interview-techniques,,4.5,Intermediate,39k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/c8/b797a0478f11e79f5485707c5a8841/COURSERA-vignette_Entrepreneurship-Strategy-V1.png.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&q=25&fit=fill&bg=FFF,Entrepreneurship Strategy: From Ideation to Exit by HEC Paris
34,Hiring and Onboarding Employees with ClickUp,Coursera Project Network,https://www.coursera.org/projects/hiring-onboarding-employees-with-clickup,,4.6,Intermediate,6.3k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/73/ec56f0904211e8971e0b922815c32a/Qualitative-Research-Design-Logo.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF&q=25,Qualitative Research Design by Emory University
35,Utilize LinkedIn for Career Search,Coursera Project Network,https://www.coursera.org/projects/utilize-linkedin-for-career-search,,4.6,Beginner,14k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/52/a36640d0ad11e892f33151e6790dbd/ux_micromasters_course_5_1x1.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF&q=25,"UX Research at Scale: Surveys, Analytics, Online Testing by University of Michigan"
36,Accomplishment STAR Techniques for Job Interviews,Coursera Project Network,https://www.coursera.org/projects/accomplishment-star-techniques-for-job-interviews,,4.6,Beginner,22k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/29/9703607d3911e79a4cff85312aff9b/GettyImages-607035567.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF&q=25,"Qualitative Research by University of California, Davis"
